Year,Month,Day,statefips,countyfips,O3_max_pred,O3_med_pred,O3_mean_pred,O3_pop_pred
2001,JAN,1,4,21,34.467026,29.110668,28.9583578,28.99969626
2001,JAN,1,4,23,33.796394,33.3131985,33.3021312,33.26175056
2001,JAN,1,4,25,38.784603,38.2143765,38.06814048,38.17215811
2001,JAN,1,4,27,30.482009,29.286236,29.35562322,29.27190231
2001,JAN,1,5,1,32.917666,32.6426965,32.6187135,32.57561945
2001,JAN,1,5,3,33.454933,33.16135,33.16650014,33.14545553
2001,JAN,1,5,5,31.681598,31.42376,31.43143544,31.41741338
2001,JAN,1,5,7,30.143425,29.29825,29.32609365,29.30407702
2001,JAN,1,5,9,31.57301,31.425634,31.43817086,31.43721864
2001,JAN,1,5,11,33.111215,32.699895,32.7766322,32.79992393
2001,JAN,1,5,13,33.289921,33.099374,33.099374,33.10753827
2001,JAN,1,5,15,31.512031,30.983856,31.0469084,31.06863872
2001,JAN,1,5,17,33.640431,33.612849,33.57070275,33.58126563
2001,JAN,1,5,19,33.577059,33.234921,33.2564924,33.2708685
2001,JAN,1,5,21,30.493824,30.3003675,30.28158083,30.26870783
2001,JAN,1,5,23,32.076036,31.85567,31.83408971,31.80879177
2001,JAN,1,5,25,32.32852,32.157094,32.157094,32.13537228
2001,JAN,1,5,27,34.3745,34.150217,34.1040608,34.08421584
2001,JAN,1,5,29,32.583302,32.2290155,32.22839583,32.17114333
2001,JAN,1,5,31,30.448037,30.304654,30.30465912,30.31322275
2001,JAN,1,5,33,31.93261,31.657187,31.64978064,31.63190987
2001,JAN,1,5,35,30.95727,30.432061,30.45249235,30.45930214
2001,JAN,1,5,37,31.525143,31.2855675,31.26581217,31.29032182
2001,JAN,1,5,39,32.888608,32.642692,32.661171,32.66316198
2001,JAN,1,5,41,33.427515,33.299863,33.2327984,33.20926708
2001,JAN,1,5,43,33.290539,32.8573,32.9578432,32.91060835
2001,JAN,1,5,45,31.619239,31.473948,31.45441504,31.46405008
